Model,Accuracy,Precision,Recall,F1,TP,FP,FN,TN
YOLOv8n-BBox,0.8017769607843137,0.7804878048780488,0.668273092369478,0.7200346170488966,832,234,413,1785
YOLOv8n-Mask,0.8278186274509803,0.8699891657638137,0.6449799196787148,0.7407749077490775,803,120,442,1899
YOLOv8m-BBox,0.8262867647058824,0.7587786259541984,0.7983935742971887,0.7780821917808218,994,316,251,1703
YOLOv8m-Mask,0.8642769607843137,0.8645454545454545,0.763855421686747,0.8110874200426439,951,149,294,1870
YOLOv8x-BBox,0.8394607843137255,0.7809820732657833,0.8048192771084337,0.7927215189873418,1002,281,243,1738
YOLOv8x-Mask,0.8670343137254902,0.8723599632690542,0.7630522088353414,0.8140531276778064,950,139,295,1880
VLM (BBox),0.8161764705882353,0.7390659747961453,0.8008032128514057,0.7686969930609099,997,352,248,1667
Hybrid,0.8863357843137255,0.8564437194127243,0.8433734939759037,0.84985835694051,1050,176,195,1843
